id,price,date,postcode,type,old_new,duration,paon,saon,street,locality,city,district,county,category,status
{49B7852A-96DD-7921-E050-A8C063056E8D},221795,2016-12-16 00:00,NE27 0FA,D,Y,F,9,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96DF-7921-E050-A8C063056E8D},194995,2016-12-19 00:00,NE28 9PB,D,Y,L,28,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96E6-7921-E050-A8C063056E8D},118995,2016-12-19 00:00,NE27 0FJ,F,Y,L,37,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96E7-7921-E050-A8C063056E8D},116995,2016-12-09 00:00,NE27 0FJ,F,Y,L,47,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96EE-7921-E050-A8C063056E8D},239995,2016-12-19 00:00,NE28 9PB,D,Y,L,17,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96F4-7921-E050-A8C063056E8D},66000,2016-06-06 00:00,NE28 0LH,F,N,L,20,,EDWIN GROVE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9293-7921-E050-A8C063056E8D},83500,2016-12-21 00:00,NE28 9TP,T,N,L,22,,BISHOPDALE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9294-7921-E050-A8C063056E8D},90000,2016-11-16 00:00,NE28 0DY,T,N,F,12,,RIDLEY AVENUE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,B,A
{49B7852A-92B6-7921-E050-A8C063056E8D},53000,2016-12-22 00:00,NE28 7DD,F,N,F,62,,STANLEY STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-92B7-7921-E050-A8C063056E8D},53000,2016-12-22 00:00,NE28 7DD,F,N,L,64,,STANLEY STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9707-7921-E050-A8C063056E8D},191995,2016-12-16 00:00,NE28 9PB,S,Y,L,51,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9346-7921-E050-A8C063056E8D},75500,2016-12-07 00:00,NE27 0AZ,S,N,F,85,,CASTLE SQUARE,BACKWORTH,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
